INDEX Date,INDEX Price,ABB Date,ABB Price,Alfa laval AB Date,Alfa laval AB Price,Assa Abloy B Date,Assa Abloy B Price,AstraZeneca Date,AstraZeneca Price,Atlas Copco A Date,Atlas Copco A Price,Atlas Copco B Date,Atlas Copco B Price,Boliden Date,Boliden Price,Carlsberg B Date,Carlsberg B Price,Coloplast Date,Coloplast Price,Danske Bank Date,Danske Bank Price,DSV Date,DSV Price,EQT AB Date,EQT AB Price,Essity B Date,Essity B Price,Evolution AB Date,Evolution AB Price,Genmab Date,Genmab Price,H&M B Date,H&M B Price,Hexagon B Date,Hexagon B Price,Investor B Date,Investor B Price,KONE Oyj Date,KONE Oyj Price,LM Ericsson B Date,LM Ericsson B Price,Moller Maersk B Date,Moller Maersk B Price,Neste Oyj Date,Neste Oyj Price,NIBE Industrier B Date,NIBE Industrier B Price,Nokia Oyj Date,Nokia Oyj Price,Nordea Bank Date,Nordea Bank Price,Novo Nordisk B Date,Novo Nordisk B Price,Novozymes B Date,Novozymes B Price,Oersted AS Date,Oersted AS Price,Pandora Date,Pandora Price,SAAB B Date,SAAB B Price,Sampo Oyj A Date,Sampo Oyj A Price,Sandvik AB Date,Sandvik AB Price,SCA B Date,SCA B Price,SEB A Date,SEB A Price,Svenska Handelsbanken A Date,Svenska Handelsbanken A Price,Swedbank A Date,Swedbank A Price,UPM-Kymmene Date,UPM-Kymmene Price,Vestas Wind Date,Vestas Wind Price,Volvo B Date,Volvo B Price,Zealand Pharma Date,Zealand Pharma Price
1/2/2025,"2,526.85",1/2/2025,593.6,1/2/2025,469.8,1/2/2025,327.7,1/2/2025,"1,470.00",1/2/2025,171.2,1/2/2025,152,1/2/2025,314.3,1/2/2025,695.4,1/2/2025,782.8,1/2/2025,203.6,1/2/2025,"1,536.50",1/2/2025,308.6,1/2/2025,296.8,1/2/2025,871,1/2/2025,"1,530.50",1/2/2025,148.4,1/2/2025,106.2,1/2/2025,295.5,1/2/2025,47.64,1/2/2025,90.82,1/2/2025,"12,385",1/2/2025,12.54,1/2/2025,43.5,1/2/2025,4.323,1/2/2025,10.655,1/2/2025,638.7,1/2/2025,411.9,1/2/2025,336.3,1/2/2025,"1,320.00",1/2/2025,232.6,1/2/2025,39.79,1/2/2025,200.7,1/2/2025,141.9,1/2/2025,153,1/2/2025,116.2,1/2/2025,219.4,1/2/2025,27.12,1/2/2025,104.9,1/2/2025,269.4,1/2/2025,727.5
12/30/2024,"2,493.89",12/30/2024,595.4,12/30/2024,462.6,12/30/2024,326.8,12/30/2024,"1,446.50",12/30/2024,168.9,12/30/2024,149.5,12/30/2024,310.5,12/30/2024,690,12/30/2024,786.2,12/30/2024,203.7,12/30/2024,"1,529.00",12/30/2024,306.1,12/30/2024,295.7,12/30/2024,852.8,12/30/2024,"1,492.50",12/30/2024,149.1,12/30/2024,105.6,12/30/2024,292.7,12/30/2024,47,12/30/2024,89.88,12/30/2024,"11,905",12/30/2024,12.13,12/30/2024,43.2,12/30/2024,4.275,12/30/2024,10.5,12/30/2024,624.2,12/30/2024,407.7,12/30/2024,324.2,12/30/2024,"1,317.00",12/30/2024,233.7,12/30/2024,39.38,12/30/2024,198.3,12/30/2024,140.5,12/30/2024,151.45,12/30/2024,114.2,12/30/2024,218.3,12/30/2024,26.56,12/30/2024,98.1,12/30/2024,268.6,12/30/2024,715.5
12/27/2024,"2,513.08",12/27/2024,604.6,12/27/2024,464.7,12/27/2024,327.4,12/27/2024,"1,459.00",12/27/2024,170,12/27/2024,150.5,12/27/2024,312.9,12/27/2024,699.4,12/27/2024,794.8,12/27/2024,205.5,12/27/2024,"1,544.00",12/27/2024,310.2,12/27/2024,297,12/27/2024,853,12/27/2024,"1,507.50",12/27/2024,149.1,12/27/2024,106.1,12/27/2024,293.6,12/27/2024,47.2,12/27/2024,89.8,12/27/2024,"12,050",12/27/2024,11.78,12/27/2024,42.4,12/27/2024,4.294,12/27/2024,10.45,12/27/2024,635.9,12/27/2024,410.1,12/27/2024,330.3,12/27/2024,"1,328.50",12/27/2024,234.8,12/27/2024,39.13,12/27/2024,199.65,12/27/2024,139.6,12/27/2024,151.25,12/27/2024,113.95,12/27/2024,217.6,12/27/2024,26.57,12/27/2024,98.8,12/27/2024,268.4,12/27/2024,733.5
12/23/2024,"2,477.13",12/23/2024,604,12/23/2024,462,12/23/2024,326.7,12/23/2024,"1,454.00",12/23/2024,168.6,12/23/2024,149.1,12/23/2024,308.2,12/23/2024,683,12/23/2024,793.2,12/23/2024,200,12/23/2024,"1,513.00",12/23/2024,302.6,12/23/2024,294.6,12/23/2024,822.4,12/23/2024,"1,485.00",12/23/2024,149,12/23/2024,105.7,12/23/2024,291.2,12/23/2024,46.73,12/23/2024,89.22,12/23/2024,"11,850",12/23/2024,11.15,12/23/2024,42.2,12/23/2024,4.239,12/23/2024,10.3,12/23/2024,622.6,12/23/2024,408,12/23/2024,334.7,12/23/2024,"1,294.50",12/23/2024,235.1,12/23/2024,38.99,12/23/2024,198.7,12/23/2024,135.4,12/23/2024,149.45,12/23/2024,113.35,12/23/2024,215.7,12/23/2024,25.72,12/23/2024,98.7,12/23/2024,266.2,12/23/2024,720
12/20/2024,"2,438.16",12/20/2024,603.6,12/20/2024,465.5,12/20/2024,325.8,12/20/2024,"1,433.00",12/20/2024,170.1,12/20/2024,149.8,12/20/2024,306,12/20/2024,681.8,12/20/2024,797.2,12/20/2024,195.9,12/20/2024,"1,507.00",12/20/2024,304.8,12/20/2024,293.5,12/20/2024,915.2,12/20/2024,"1,462.00",12/20/2024,150.9,12/20/2024,105.6,12/20/2024,290.6,12/20/2024,47.15,12/20/2024,89.1,12/20/2024,"11,460",12/20/2024,11.23,12/20/2024,42.2,12/20/2024,4.224,12/20/2024,10.245,12/20/2024,589.2,12/20/2024,404.8,12/20/2024,332.6,12/20/2024,"1,274.50",12/20/2024,226.3,12/20/2024,39.01,12/20/2024,199,12/20/2024,135.4,12/20/2024,148.7,12/20/2024,112.05,12/20/2024,213.2,12/20/2024,25.66,12/20/2024,94.4,12/20/2024,267.7,12/20/2024,728
12/19/2024,"2,583.26",12/19/2024,598.2,12/19/2024,462.8,12/19/2024,325.9,12/19/2024,"1,423.00",12/19/2024,171.4,12/19/2024,151.7,12/19/2024,304.7,12/19/2024,691.4,12/19/2024,790.4,12/19/2024,201,12/19/2024,"1,496.00",12/19/2024,297.3,12/19/2024,295.6,12/19/2024,911.2,12/19/2024,"1,454.00",12/19/2024,148.5,12/19/2024,105.9,12/19/2024,290.4,12/19/2024,46.95,12/19/2024,89.22,12/19/2024,"11,500",12/19/2024,11.45,12/19/2024,42.1,12/19/2024,4.258,12/19/2024,10.465,12/19/2024,743.2,12/19/2024,403.7,12/19/2024,332.1,12/19/2024,"1,263.50",12/19/2024,224.9,12/19/2024,38.81,12/19/2024,200,12/19/2024,134.9,12/19/2024,151.2,12/19/2024,112.85,12/19/2024,216.2,12/19/2024,25.71,12/19/2024,96.8,12/19/2024,269.9,12/19/2024,756.5
12/18/2024,"2,640.74",12/18/2024,631.6,12/18/2024,472.7,12/18/2024,341.1,12/18/2024,"1,447.00",12/18/2024,177.1,12/18/2024,156.1,12/18/2024,319.1,12/18/2024,694.6,12/18/2024,801,12/18/2024,203.7,12/18/2024,"1,500.00",12/18/2024,322.5,12/18/2024,294.8,12/18/2024,927.6,12/18/2024,"1,486.50",12/18/2024,152.1,12/18/2024,106.4,12/18/2024,296.2,12/18/2024,47.75,12/18/2024,90.7,12/18/2024,"11,615",12/18/2024,11.68,12/18/2024,43.6,12/18/2024,4.284,12/18/2024,10.615,12/18/2024,771.6,12/18/2024,409.4,12/18/2024,338.6,12/18/2024,"1,271.00",12/18/2024,225.1,12/18/2024,38.97,12/18/2024,205.4,12/18/2024,137.9,12/18/2024,154.55,12/18/2024,113.65,12/18/2024,217.4,12/18/2024,25.77,12/18/2024,98.2,12/18/2024,275.6,12/18/2024,802.5
12/17/2024,"2,636.67",12/17/2024,634.6,12/17/2024,465.4,12/17/2024,338.8,12/17/2024,"1,465.00",12/17/2024,176.8,12/17/2024,155.6,12/17/2024,321.4,12/17/2024,702.2,12/17/2024,816.2,12/17/2024,203.6,12/17/2024,"1,516.50",12/17/2024,317.9,12/17/2024,297.8,12/17/2024,923.2,12/17/2024,"1,427.50",12/17/2024,152.1,12/17/2024,105.5,12/17/2024,295.5,12/17/2024,47.81,12/17/2024,89.86,12/17/2024,"11,540",12/17/2024,12.24,12/17/2024,42.7,12/17/2024,4.22,12/17/2024,10.56,12/17/2024,769.9,12/17/2024,412.7,12/17/2024,339.2,12/17/2024,"1,258.00",12/17/2024,223.7,12/17/2024,39.16,12/17/2024,205.4,12/17/2024,140.4,12/17/2024,153.85,12/17/2024,113.4,12/17/2024,216.2,12/17/2024,26.08,12/17/2024,94.4,12/17/2024,275.7,12/17/2024,799
12/16/2024,"2,662.04",12/16/2024,634.4,12/16/2024,470.4,12/16/2024,340.8,12/16/2024,"1,462.50",12/16/2024,177.3,12/16/2024,156.1,12/16/2024,323,12/16/2024,716.6,12/16/2024,832.4,12/16/2024,205.8,12/16/2024,"1,550.00",12/16/2024,321.8,12/16/2024,299.4,12/16/2024,913.4,12/16/2024,"1,442.50",12/16/2024,154.1,12/16/2024,106.2,12/16/2024,296.6,12/16/2024,48.34,12/16/2024,90.7,12/16/2024,"11,865",12/16/2024,12.31,12/16/2024,43.2,12/16/2024,4.261,12/16/2024,10.69,12/16/2024,777.3,12/16/2024,415.6,12/16/2024,340.3,12/16/2024,"1,280.00",12/16/2024,233.3,12/16/2024,39.64,12/16/2024,204.9,12/16/2024,140.1,12/16/2024,155,12/16/2024,113.9,12/16/2024,217.9,12/16/2024,26.06,12/16/2024,95.8,12/16/2024,274.9,12/16/2024,803
12/13/2024,"2,636.49",12/13/2024,634,12/13/2024,477.8,12/13/2024,341.7,12/13/2024,"1,458.50",12/13/2024,177.1,12/13/2024,156.3,12/13/2024,326.2,12/13/2024,722.6,12/13/2024,824.4,12/13/2024,204.9,12/13/2024,"1,541.50",12/13/2024,315.2,12/13/2024,298.1,12/13/2024,916.8,12/13/2024,"1,438.50",12/13/2024,156.4,12/13/2024,106.9,12/13/2024,296.9,12/13/2024,48.12,12/13/2024,90.82,12/13/2024,"12,050",12/13/2024,12.65,12/13/2024,43.7,12/13/2024,4.22,12/13/2024,10.685,12/13/2024,754,12/13/2024,417.2,12/13/2024,348.2,12/13/2024,"1,275.00",12/13/2024,231.8,12/13/2024,39.44,12/13/2024,208.5,12/13/2024,140.7,12/13/2024,155.2,12/13/2024,114.1,12/13/2024,219.1,12/13/2024,25.99,12/13/2024,95.6,12/13/2024,280.4,12/13/2024,780.5
